day_of_week,avg_steps,avg_active_minutes,avg_sedentary_minutes,n_days
Monday,8488.218181818182,250.0,990.4818181818182,110
Tuesday,8884.899280575539,256.57553956834533,966.8992805755396,139
Wednesday,8157.597122302158,241.4388489208633,953.8273381294964,139
Thursday,8064.133333333333,236.05925925925925,919.5037037037036,135
Friday,7820.641666666666,248.18333333333334,978.325,120
Saturday,8791.034782608696,263.38260869565215,927.0521739130435,115
Sunday,7626.554545454545,229.33636363636364,945.2818181818182,110
